year,state,medianincome,se,footnote
2001,Colorado,66053,1591,none
2001,Connecticut,71334,1658,none
2001,Delaware,66327,1963,none
2001,D.C.,55050,1368,none
2001,Florida,48701,558,none
2001,Georgia,56932,1435,none
2001,Hawaii,63434,1679,none
2001,Idaho,51135,1292,none
2001,Illinois,61739,1175,none
2001,Indiana,53994,1268,none
2001,Iowa,54792,1515,none
2001,Kansas,55379,1491,none
2001,Kentucky,51397,1349,none
2001,Louisiana,44557,1598,none
2001,Maine,48957,1273,none
2001,Maryland,71579,2209,none
2001,Massachusetts,69872,2030,none
2001,Michigan,60236,1161,none
2001,Minnesota,70444,1516,none
2001,Mississippi,40331,1586,none
2001,Missouri,55278,1610,none
2001,Montana,42958,986,none
2001,Nebraska,58316,1492,none
2001,Nevada,60712,1511,none
2001,New Hampshire,68639,961,none
2001,New Jersey,69227,1248,none
2001,New Mexico,44293,1655,none
2001,New York,56314,802,none
2001,North Carolina,51029,1272,none
2001,North Dakota,47862,1075,none
2001,Ohio,55874,884,none
2001,Oklahoma,47616,923,none
2001,Oregon,55189,1006,none
2001,Pennsylvania,58166,967,none
2001,Rhode Island,61140,1534,none
2001,South Carolina,50460,1368,none
2001,South Dakota,53047,1145,none
2001,Tennessee,47848,1058,none
2001,Texas,54637,685,none
2001,Utah,63305,2141,none
2001,Vermont,54549,1262,none
2001,Virginia,67181,1535,none
2001,Washington,56817,1690,none
2001,West Virginia,39678,901,none
2001,Wisconsin,60636,1502,none
2000,United States,57724,181,none
2000,Alabama,48697,1474,none
2000,Alaska,72649,1593,none
2000,Arizona,54690,1663,none
2000,Arkansas,40825,1061,none
2000,California,64358,943,none
2000,Colorado,66316,1701,none
2000,Connecticut,68972,1865,none
2000,Delaware,69237,2073,none
2000,D.C.,56668,1474,none
2000,Florida,53415,1021,none
2000,Georgia,57601,1142,none
2000,Hawaii,70860,1640,none
2000,Idaho,51704,1639,none
2000,Illinois,63324,1328,none
2000,Indiana,56177,933,none
2000,Iowa,56350,1115,none
2000,Kansas,56444,1606,none
2000,Kentucky,49854,1166,none
2000,Louisiana,42228,1138,none
2000,Maine,51230,1173,none
2000,Maryland,74969,1925,none
2000,Massachusetts,64272,1865,none
2000,Michigan,62566,1505,none
2000,Minnesota,74579,2341,none
2000,Mississippi,47151,1861,none
2000,Missouri,61995,1632,none
2000,Montana,45059,1376,none
2000,Nebraska,57394,1399,none
2000,Nevada,62904,1390,none
2000,New Hampshire,70008,1709,none
2000,New Jersey,69292,1362,none
2000,New Mexico,48242,1716,none
2000,New York,56011,799,none
2000,North Carolina,52675,1108,none
2000,North Dakota,49484,1464,none
2000,Ohio,59060,1006,none
2000,Oklahoma,44584,975,none
2000,Oregon,58424,1287,none
2000,Pennsylvania,57979,968,none
2000,Rhode Island,58008,1399,none
2000,South Carolina,51648,1288,none
2000,South Dakota,50142,944,none
2000,Tennessee,46872,1278,none
2000,Texas,53076,1079,none
2000,Utah,65367,1431,none
2000,Vermont,54430,1266,none
2000,Virginia,64835,1464,none
2000,Washington,58459,1665,none
2000,West Virginia,40431,887,none
2000,Wisconsin,61983,1309,none
1999,United States,57843,270,none
1999,Alabama,51525,1690,none
1999,Alaska,73051,3164,none
1999,Arizona,52582,1610,none
1999,Arkansas,42188,1458,none
1999,California,62011,999,none
1999,Colorado,68476,2108,none
1999,Connecticut,71909,3263,none
1999,Delaware,66274,3242,none
1999,D.C.,54963,2273,none
1999,Florida,50928,891,none
1999,Georgia,56036,1926,none
1999,Hawaii,63255,2604,none
1999,Idaho,50884,2008,none
1999,Illinois,65850,1461,none
1999,Indiana,58044,2443,none
1999,Iowa,58414,1606,none
1999,Kansas,53084,2954,none
1999,Kentucky,47953,2109,none
1999,Louisiana,46412,1768,none
1999,Maine,55236,1875,none
1999,Maryland,74201,3151,none
1999,Massachusetts,62546,2875,none
1999,Michigan,65508,1458,none
1999,Minnesota,66857,2170,none
1999,Mississippi,46162,2001,none
1999,Missouri,58819,1693,none
1999,Montana,44115,1373,none
1999,Nebraska,54900,1942,none
1999,Nevada,58930,2507,none
1999,New Hampshire,65459,2774,none
1999,New Jersey,70689,1997,none
1999,New Mexico,46298,2482,none
1999,New York,56838,1249,none
1999,North Carolina,52950,1364,none
1999,North Dakota,46425,1966,none
1999,Ohio,56127,1406,none
1999,Oklahoma,46453,2119,none
1999,Oregon,57733,1780,none
1999,Pennsylvania,53667,1622,none
1999,Rhode Island,60718,2814,none
1999,South Carolina,51825,2456,none
